IPERE,Menage,M_AUTO,M_PERS,M_DOMSM,M_revenu,M_dist_train,M_dist_metro,M_dist_centre,M_emploiTC,P_RANG,P_SEXE,P_AGE,P_GRAGE,P_STATUT,P_PERMIS,D_HREDE,D_MOTIF
135069,1081867,5,4,611,4,35.02577857,24.77197719,36.35820157,13540,3,2,23,5,3,1,1000,4
135082,1081877,1,4,106,3,3.587000837,0.2163917613,3.587000837,799800,2,2,54,11,1,1,745,1
135102,1081878,1,6,118,2,7.530585159999999,5.865811795,14.85791985,83130,4,1,12,3,3,5,1220,4
135152,1081910,1,4,132,3,4.991917524000001,13.35567879,23.99929932,59950,1,2,37,8,1,1,700,1
135213,1081962,2,2,622,4,14.47066878,19.34843044,29.38108613,9015,1,2,58,12,2,1,815,1
135226,1081964,2,3,138,6,1.096054902,20.706094229999998,30.2563096,25570,3,2,15,4,3,5,800,4
135242,1081971,2,4,406,4,2.1584112540000002,1.248987597,15.61426393,637430,4,2,12,3,3,5,710,4
135260,1081983,1,4,117,1,7.538162711,3.3727785829999997,12.17633315,238710,3,2,6,2,3,5,700,4
135333,1082010,2,5,117,2,8.794165244,3.576206627,13.00917389,347220,1,1,48,10,2,1,1000,1
135345,1082016,0,3,107,1,1.71530872,0.5610648816,7.035489901,822510,3,2,28,6,3,1,830,4
135347,1082018,2,2,661,3,11.76267188,45.499651709999995,61.712236749999995,210,1,2,56,12,1,1,830,1
135354,1082022,2,2,128,4,2.9859425959999997,5.075689934,11.81365233,46070,2,2,46,10,1,1,600,1
135361,1082025,2,1,103,3,4.306536301,0.1272130015,6.6550735439999995,525420,1,1,54,11,1,1,630,1
135393,1082047,0,3,406,8,1.7243159929999998,1.045990688,13.54920516,615075,1,2,20,5,3,1,1030,4
135569,1082169,2,4,545,3,15.51354198,37.57849798,39.05204045999999,535,1,2,32,7,1,1,650,1
135586,1082176,2,6,511,6,19.56252565,25.250800159999997,28.17088175,0,4,1,9,2,3,5,815,4
135683,1082244,3,3,403,6,7.817851464,6.193662721,21.06767281,80420,3,1,21,5,3,1,730,4
135696,1082245,3,4,501,4,15.52493995,28.870434539999998,34.10114126,585,3,2,14,3,3,5,715,4
135729,1082262,2,2,624,4,18.80392419,32.156365699999995,42.18902139,775,2,2,65,14,1,1,615,1
135751,1082286,2,2,623,2,22.579005130000002,28.095423869999998,38.12807955,4600,2,1,55,12,1,1,510,1
135748,1082286,2,2,623,2,22.579005130000002,28.095423869999998,38.12807955,4600,1,2,52,11,1,1,545,1
135762,1082292,4,1,501,2,15.53274459,28.89950029,34.13020702,585,1,1,53,11,2,1,530,1
135780,1082308,1,2,403,7,6.051277938,4.816082538,19.30109929,81090,1,1,61,13,1,1,915,1
135859,1082366,2,2,136,3,4.180317696,17.97583456,28.61945509,27340,1,2,50,11,1,1,600,1
135889,1082400,2,5,119,8,3.808859131,1.824650873,11.630369609999999,211060,2,1,51,11,1,1,800,1
135919,1082420,2,2,110,4,4.397628041,1.312412837,6.757540825,652875,1,2,52,11,1,1,1400,1
135960,1082440,2,4,113,4,19.23855807,8.387945707,19.23855807,44120,3,2,10,3,3,5,720,4
135979,1082459,2,6,113,2,17.77860035,6.768462938,18.35468732,44120,2,1,46,10,1,1,830,1
136063,1082491,0,3,111,2,3.431831191,0.6689726745000001,3.431831191,713135,2,2,9,2,3,5,708,4
136074,1082494,1,3,546,3,19.21983664,37.80152946,39.27507195,3125,3,2,9,2,3,5,735,4
136098,1082524,2,3,601,4,50.41133753,40.15753615,51.74376053,735,1,1,31,7,1,1,700,1
136132,1082538,2,2,611,2,30.98866184,20.73486045,32.32108484,21660,1,2,55,12,1,1,730,1
136159,1082546,1,2,103,7,1.514732298,0.4448314537,3.589263296,759345,2,2,53,11,1,2,700,1
136202,1082566,0,3,110,3,6.0106056070000005,2.246961602,7.841928103,630710,3,2,24,5,3,2,930,4
136224,1082589,1,2,111,2,7.694206249,0.4748547664,7.694206249,620850,1,2,45,10,1,1,730,1
136226,1082589,1,2,111,2,7.694206249,0.4748547664,7.694206249,620850,2,2,14,3,3,5,730,4
136237,1082600,3,2,404,3,7.921992717,10.67045321,26.29174713,48930,2,2,53,11,1,1,1700,1
136250,1082601,4,4,561,3,27.45478339,46.036476210000004,47.510018689999995,370,4,1,16,4,3,2,830,4
136269,1082611,2,4,401,4,2.8046961500000003,14.97891234,29.789459190000002,9820,2,1,42,9,1,1,700,1
136290,1082617,2,5,308,5,8.210183085,11.61857727,13.80849516,293910,3,1,11,3,3,5,750,4
136298,1082623,1,2,304,3,0.7858648479,2.8953650499999997,7.358124341,477155,1,2,56,12,1,1,730,1
136369,1082650,2,3,521,6,3.148504982,16.46367418,21.69438091,5895,2,2,49,10,1,1,640,1
136413,1082660,1,3,112,3,8.928079943,1.805625809,11.23313366,539280,3,2,30,7,1,1,730,1
136409,1082660,1,3,112,3,8.928079943,1.805625809,11.23313366,539280,1,1,50,11,1,1,700,1
136423,1082676,2,2,106,3,4.588416615,1.7108686800000001,4.588416615,587360,1,1,34,7,3,1,700,4
136433,1082678,1,4,309,8,12.414966940000001,11.91051966,17.33863715,24880,4,2,14,3,3,5,730,4
136560,1082757,1,1,661,2,0.2418412715,34.47327381,50.685858849999995,23875,1,2,52,11,1,1,2230,1
136586,1082781,2,5,308,3,4.594775436,7.485288563,9.67520645,393655,3,2,10,3,3,5,745,4
136626,1082793,1,4,304,1,1.011981309,4.51437309,7.1305433979999995,203935,3,1,7,2,3,5,800,4
136637,1082794,5,5,532,8,22.2459292,20.519363809999998,25.9474813,14190,5,2,51,11,2,1,700,1
136635,1082794,5,5,532,8,22.2459292,20.519363809999998,25.9474813,14190,4,2,24,5,1,1,600,1
136755,1082857,2,4,623,3,20.49562649,21.39786746,31.430523150000003,9085,4,2,11,3,3,5,800,4
136782,1082882,0,1,110,3,4.639284337,1.608678707,6.622819622,577445,1,1,34,7,1,1,700,1
136841,1082916,2,6,137,1,1.633177626,16.74283635,27.38645688,30615,1,2,20,5,3,2,1620,1
136848,1082916,2,6,137,1,1.633177626,16.74283635,27.38645688,30615,4,2,12,3,3,5,900,4
136871,1082925,2,2,622,3,14.445612010000001,19.2410107,29.273666379999998,9015,1,1,42,9,1,1,700,1
136901,1082940,1,2,546,2,16.74360187,35.32529469,36.79883717,3125,2,1,61,13,1,1,600,1
136909,1082947,3,2,511,2,26.11376104,31.019968690000002,34.72211714,10105,1,1,60,13,2,1,500,1
136917,1082948,2,4,402,4,4.903720316,8.717987518,22.477838220000002,55015,3,1,50,11,1,1,645,1
136932,1082958,1,2,121,4,2.0931173629999997,0.8283366278,4.851869468,752195,2,1,42,9,1,1,830,1
136937,1082970,3,2,511,2,23.972204910000002,28.87841256,32.580561010000004,3805,1,1,51,11,1,1,500,1
136946,1082975,2,4,611,7,32.1706977,21.91689632,33.5031207,3230,1,2,36,8,3,1,800,4
136988,1083007,1,2,403,3,5.103224207,5.866256418,18.353045549999997,125680,1,1,70,15,1,1,930,1
136997,1083013,1,3,127,2,8.371974005,10.705647059999999,12.17918954,400950,3,1,17,4,3,2,1000,4
137009,1083015,2,2,121,6,1.998854023,0.6499096702,4.792156353,655065,2,1,78,16,1,1,700,1
137011,1083023,2,3,119,3,3.6212516679999998,1.388688463,11.006876850000001,672065,1,1,26,6,1,1,845,1
137069,1083056,1,1,641,2,2.882554537,12.722129339999999,28.93471439,23025,1,1,38,8,1,1,645,1
137084,1083067,2,3,106,2,4.87703054,0.6610611577,4.87703054,710270,2,2,50,11,1,1,615,1
137089,1083072,1,2,404,3,2.630227139,5.840803356,22.054537680000003,39565,2,2,54,11,1,1,730,1
137125,1083099,1,3,104,4,1.4554756,1.230476889,5.65707463,659935,2,2,53,11,7,1,830,4
137141,1083105,4,7,623,8,21.15093635,22.05317732,32.08583301,8450,2,1,50,11,1,1,530,1
137149,1083105,4,7,623,8,21.15093635,22.05317732,32.08583301,8450,7,2,17,4,3,1,600,4
137144,1083105,4,7,623,8,21.15093635,22.05317732,32.08583301,8450,4,2,23,5,1,1,600,1
137323,1083202,3,4,651,3,8.524048224,26.06540801,42.27799306,1975,1,2,37,8,1,1,740,1
137333,1083202,3,4,651,3,8.524048224,26.06540801,42.27799306,1975,3,1,23,5,1,1,915,1
137371,1083222,2,2,522,7,1.080651271,19.3271816,24.557888319999996,40180,2,2,51,11,1,1,900,1
137470,1083276,2,4,611,3,26.326337210000002,16.07253583,27.65876021,19445,2,2,48,10,1,1,1315,1
137497,1083283,1,4,104,5,2.5625243970000002,1.300781645,6.4928207350000005,527040,3,1,5,2,3,5,800,4
137504,1083294,1,1,405,7,2.797820713,7.595322916,20.13059375,35980,1,2,43,9,1,1,730,1
137527,1083307,1,2,621,7,18.92713741,19.714230790000002,29.74688647,6960,2,1,61,13,1,1,330,1
137532,1083309,3,3,105,6,1.219814742,0.9819783469,5.816756664,571040,2,1,60,13,1,1,800,1
137574,1083331,5,3,404,4,5.176264197,7.463516156,22.58413075,143445,3,1,16,4,3,2,830,4
137625,1083357,2,2,523,4,0.6398127134,25.36570376,30.59641048,34175,2,2,36,8,1,1,745,1
137635,1083366,2,3,661,2,0.7330841423000001,34.66626607,50.87885111000001,12545,3,1,16,4,3,2,1300,4
137686,1083397,4,4,545,4,21.20838926,43.27334526,44.74688774,535,4,2,13,3,3,5,800,4
137682,1083397,4,4,545,4,21.20838926,43.27334526,44.74688774,535,2,1,44,9,1,1,400,1
137743,1083444,1,2,124,3,3.192882189,2.8994837419999997,8.503431455,358815,2,2,64,13,1,1,730,1
137779,1083464,2,4,544,3,0.8343783538999999,22.83856957,24.31211205,4005,1,2,35,8,1,1,745,1
137814,1083495,0,2,102,7,1.3027924439999998,0.650927183,1.3027924439999998,711805,2,1,73,15,1,2,800,1
137830,1083502,2,3,511,3,33.84478993,39.827036820000004,43.52918527,1820,2,2,35,8,1,1,715,1
137924,1083571,3,3,124,5,3.675589917,3.756668257,9.588322757,296180,3,1,66,14,1,1,930,1
137922,1083571,3,3,124,5,3.675589917,3.756668257,9.588322757,296180,2,2,63,13,1,1,1430,1
137932,1083582,2,2,404,4,6.566022358000001,8.853274316999999,24.523529500000002,52845,1,1,32,7,1,1,1400,1
137940,1083583,2,3,119,4,2.765475264,0.7649204373999999,10.57063918,672065,2,1,16,4,3,2,730,4
137942,1083583,2,3,119,4,2.765475264,0.7649204373999999,10.57063918,672065,3,2,43,9,1,1,745,1
137975,1083605,2,3,111,2,6.664589912,0.08513788718000001,6.664589912,712200,1,1,62,13,1,1,800,1
138013,1083640,1,1,402,3,4.680138063,9.207748048,22.38386578,48605,1,2,43,9,1,1,845,1
138023,1083648,2,4,631,4,3.447265153,16.18907792,30.99962476,21760,3,1,12,3,3,5,700,4
138031,1083652,2,3,117,5,8.526887879,3.668359332,12.866047409999998,347220,2,1,34,7,1,1,745,1
138034,1083653,1,4,117,7,7.878212895,3.712828768,12.51638333,145465,1,1,59,12,1,1,630,1
138068,1083681,1,2,105,3,1.351674433,1.364969026,6.02983971,611070,2,1,15,4,3,5,1300,4
138070,1083683,1,2,308,4,6.378078107,9.288932634,11.47885052,365775,1,1,52,11,1,1,600,1
138085,1083690,2,4,632,5,1.280040126,18.97145588,33.1919795,19125,2,1,42,9,1,1,1300,1
138096,1083694,0,2,110,3,3.522693108,0.448079336,7.604249886,729645,2,1,33,7,1,1,815,1
138100,1083697,2,4,308,4,7.105448178,9.658490234,11.84840812,37540,1,1,45,10,1,1,800,1
138120,1083698,1,3,136,2,3.25541006,14.83287346,25.391301759999998,34045,1,1,38,8,1,1,630,1
138136,1083707,4,4,308,6,7.615708619,10.121380929999999,12.31129881,21765,3,2,24,5,1,1,900,1
138132,1083707,4,4,308,6,7.615708619,10.121380929999999,12.31129881,21765,1,1,58,12,1,1,800,1
138186,1083756,1,5,117,1,7.571781594,3.4063974669999997,12.20995203,161435,1,1,40,9,3,1,800,4
138190,1083756,1,5,117,1,7.571781594,3.4063974669999997,12.20995203,161435,3,1,12,3,3,5,730,4
138194,1083761,2,4,406,4,3.322489082,7.657913752000001,20.19318459,44830,1,2,28,6,5,1,1600,4
138209,1083764,3,5,138,6,1.383263272,20.57225908,29.979093260000003,25570,3,2,18,4,3,1,810,4
138273,1083797,3,3,128,3,2.878277787,3.943035135,10.89212139,256520,1,1,62,13,1,1,715,1
138282,1083804,2,4,547,2,9.165886474,27.7475793,29.22112178,0,2,1,49,10,1,1,730,1
138301,1083814,2,4,631,6,4.019102117,20.2326695,35.04321634,15690,3,1,9,2,3,5,700,4
138363,1083843,1,4,308,4,9.134895010000001,12.52723315,14.717151040000001,13085,4,2,6,2,3,5,730,4
138359,1083843,1,4,308,4,9.134895010000001,12.52723315,14.717151040000001,13085,2,1,35,8,1,1,600,1
138401,1083860,1,2,107,5,2.2298625459999997,0.2855605674,7.550043727,813665,1,2,32,7,1,1,745,1
138419,1083867,1,5,107,2,1.559369802,1.5176987899999999,7.526003411,621300,2,1,40,9,1,1,830,1
138422,1083867,1,5,107,2,1.559369802,1.5176987899999999,7.526003411,621300,3,1,7,2,3,5,800,4
138426,1083870,1,2,401,1,2.493592733,14.73529169,29.545838540000002,7705,1,2,39,8,1,1,545,1
138433,1083874,3,3,127,4,5.2221978490000005,0.9310793671,6.321692629999999,622805,2,1,49,10,1,1,530,1
138470,1083894,2,4,404,3,4.239739300999999,9.460634874,25.67436919,87955,4,1,15,4,3,5,900,4
138492,1083905,0,4,106,2,3.497238298,0.33762887519999996,3.497238298,738585,4,1,11,3,3,5,830,4
138488,1083905,0,4,106,2,3.497238298,0.33762887519999996,3.497238298,738585,3,2,15,4,3,5,630,4
138507,1083911,0,1,108,1,2.280566781,0.5197956,9.827876228,725780,1,2,32,7,1,2,815,1
138543,1083941,2,2,601,2,50.47129093,40.21748954,51.80371392,735,2,2,49,10,1,1,800,1
138579,1083959,2,4,106,3,4.457105326,1.017967766,5.121396505,580000,2,1,33,7,1,1,615,1
138585,1083961,2,2,134,3,8.117988857,19.69545226,30.253880560000002,1510,2,1,58,12,1,1,700,1
138598,1083966,2,3,302,3,3.083841386,6.852457407,12.419849679999999,55545,3,2,11,3,3,5,750,4
138592,1083966,2,3,302,3,3.083841386,6.852457407,12.419849679999999,55545,1,2,53,11,2,1,1130,1
138617,1083990,0,3,110,3,5.527237371,2.1787539619999996,6.8782694300000005,566830,1,2,42,9,1,1,700,1
138644,1083994,2,5,136,5,4.881493752,18.68396736,29.32758789,29975,5,2,13,3,3,5,700,4
138654,1084000,1,4,108,2,0.9048617551,1.346421557,8.424632895,579720,3,1,15,4,3,5,750,4
138715,1084040,2,2,122,6,2.981392752,1.94671078,3.575580594,345005,2,1,72,15,5,1,730,1
138753,1084061,2,2,623,2,20.84696576,21.74920673,31.781862420000003,5655,1,1,35,8,1,1,1430,1
138770,1084066,1,6,511,4,24.138982499999997,29.04519015,32.7473386,3805,4,1,10,3,3,5,805,4
138777,1084071,0,3,119,8,1.688369999,0.6375631903,11.20023,625740,1,2,30,7,1,2,1850,4
138790,1084074,2,3,641,1,4.836000796,14.6755756,30.888160650000003,14440,3,1,6,2,3,5,830,4
138788,1084074,2,3,641,1,4.836000796,14.6755756,30.888160650000003,14440,2,2,40,9,1,1,730,1
138804,1084096,1,1,113,2,18.606896980000002,8.310713157,19.89693754,56425,1,2,70,15,1,1,800,1
138820,1084102,3,3,403,7,3.43948798,2.79256655,15.96888679,467445,2,2,44,9,1,1,645,1
138818,1084102,3,3,403,7,3.43948798,2.79256655,15.96888679,467445,1,1,45,10,1,1,715,1
138854,1084118,1,3,110,7,5.575954745,2.1458839039999997,6.467349552,563960,1,1,49,10,1,1,520,1
138858,1084118,1,3,110,7,5.575954745,2.1458839039999997,6.467349552,563960,3,2,23,5,3,1,800,4
138880,1084130,3,5,402,2,5.356515107,7.95824615,21.718096850000002,55015,5,2,21,5,1,2,1130,1
138902,1084136,1,2,124,1,2.6869106670000003,4.475529087,10.307183590000001,85635,2,1,70,15,4,1,1525,1
138927,1084162,1,2,113,2,17.66351054,6.33160935,17.917833729999998,54475,2,2,51,11,1,1,800,1
138973,1084191,1,3,403,2,3.896096216,4.184026169,17.14591756,179225,2,1,9,2,3,5,710,4
138986,1084200,2,4,114,4,14.573910029999999,7.3476803550000005,18.85021646,78990,2,1,54,11,1,1,600,1
139001,1084211,1,3,303,2,3.738642813,4.334002908,9.901395178000001,99460,3,1,17,4,2,2,800,1
139026,1084225,2,4,305,3,1.20889828,4.28566633,7.369020047,294300,2,1,36,8,1,1,425,1
139052,1084242,2,4,406,2,4.26919512,3.435771705,15.68812142,133580,2,2,41,9,1,1,800,1
139065,1084249,2,4,403,4,8.758394053,7.156893306,22.038964909999997,80420,1,2,38,8,3,1,900,4
139085,1084255,0,2,107,3,2.228478744,0.3700122401,5.597964987999999,770420,1,1,49,10,1,1,1115,1
139100,1084258,3,4,541,5,7.566543003,22.86846176,25.05837964,465,4,2,14,3,3,5,855,4
139107,1084266,2,2,642,2,2.850354563,18.23363615,34.4462212,27555,2,2,65,14,1,1,830,1
139135,1084283,2,3,623,4,18.79220298,22.30009006,32.33274575,5625,3,1,7,2,3,5,724,4
139148,1084286,1,5,110,4,7.277143505,2.304169505,10.23109483,553980,4,2,12,3,3,5,830,4
139176,1084302,2,5,632,4,0.243825939,15.83656538,29.6825642,4090,3,1,6,2,3,5,730,4
139172,1084302,2,5,632,4,0.243825939,15.83656538,29.6825642,4090,2,2,38,8,1,1,700,1
139230,1084338,1,3,103,4,4.100092194,1.1798368250000002,7.216504193,525420,1,2,44,9,1,1,800,1
139241,1084340,2,3,117,2,7.546546596,2.658938014,10.95963391,491330,3,1,11,3,3,5,800,4
139239,1084340,2,3,117,2,7.546546596,2.658938014,10.95963391,491330,2,2,23,5,3,1,700,4
139255,1084348,2,2,524,5,1.49401619,31.65917759,36.88988431,2840,1,2,40,9,1,1,900,1
139336,1084382,2,3,106,3,3.923096429,0.30028148169999996,3.99081511,895775,3,1,21,5,3,2,715,4
139350,1084397,1,3,501,2,15.219509319999998,28.468336469999997,33.69904319,585,2,2,5,2,3,5,820,4
139361,1084404,1,4,302,7,4.000216925,7.767711883,13.36458907,63575,2,2,13,3,3,5,845,4
139395,1084425,1,3,105,3,2.4025699030000003,0.332487839,6.696821437,618850,1,2,43,9,3,1,645,1
139415,1084436,3,3,611,4,30.59776312,20.343961739999997,31.93018612,14710,3,1,22,5,1,1,830,1
139439,1084452,2,2,633,2,3.880484502,19.67779604,33.523794869999996,4775,2,1,46,10,1,1,1345,1
139568,1084513,3,4,128,2,3.214925076,2.961204887,10.17916651,310840,4,1,30,7,1,1,800,1
139578,1084519,3,5,521,4,11.55665236,20.8840873,26.114794030000002,5895,1,2,37,8,1,1,830,1
139598,1084521,2,2,302,6,7.5385104300000005,5.089317636,10.68619482,76835,2,1,48,10,1,1,700,1
139596,1084521,2,2,302,6,7.5385104300000005,5.089317636,10.68619482,76835,1,2,47,10,1,1,615,1
139619,1084535,1,5,105,3,2.139831086,0.595075593,6.39918358,618850,1,2,46,10,1,2,900,1
139624,1084535,1,5,105,3,2.139831086,0.595075593,6.39918358,618850,3,2,20,5,3,2,1200,4
139663,1084565,5,3,532,6,22.115699369999998,20.389133989999998,25.81725148,14190,2,2,58,12,2,1,1200,1
139714,1084614,1,1,304,5,2.753784759,5.534323011000001,7.724240897,201500,1,1,57,12,1,1,730,1
139740,1084638,2,2,401,5,5.931824899,13.32386439,28.28433545,6360,1,1,52,11,1,1,630,1
139754,1084639,2,5,643,4,3.12648497,20.94455048,37.157135520000004,31725,3,2,12,3,3,5,830,4
139853,1084686,1,2,106,5,4.466594977,0.9166288385,4.928001253000001,580000,1,2,59,12,1,1,830,1
139887,1084699,2,4,405,6,1.417296361,5.834930899,18.37020173,116865,4,1,17,4,3,1,900,4
139971,1084752,2,4,129,6,1.4842295939999999,8.990526762,14.01211853,34765,2,2,44,9,1,1,815,1
139977,1084752,2,4,129,6,1.4842295939999999,8.990526762,14.01211853,34765,4,1,9,2,3,5,730,4
140000,1084757,2,4,401,2,1.854430264,14.57006759,29.38061443,9820,4,2,5,2,3,5,1300,4
140019,1084764,2,3,108,1,2.519604263,0.7435956407,10.792932650000001,902855,2,1,15,4,3,5,700,4
140055,1084781,2,4,304,6,3.7362064150000003,6.5211476919999996,8.711065579,201500,3,2,5,2,3,5,800,4
140047,1084781,2,4,304,6,3.7362064150000003,6.5211476919999996,8.711065579,201500,1,2,39,8,1,1,745,1
140060,1084783,2,2,511,7,23.02928917,27.93549682,31.63764527,3805,2,1,50,11,1,1,830,1
140081,1084793,0,1,105,4,1.045863838,1.9612710320000002,7.350693384,648270,1,1,55,12,1,1,1300,1
140235,1084887,1,2,103,2,4.522921671,0.3549167863,7.102642412,525420,1,2,59,12,1,1,900,1
140251,1084893,2,4,138,6,2.14294558,18.474919269999997,29.118539799999997,5505,2,1,51,11,1,1,900,1
140257,1084894,2,2,624,4,20.681515169999997,28.8794235,38.91207918,7235,1,1,48,10,1,1,700,1
140259,1084894,2,2,624,4,20.681515169999997,28.8794235,38.91207918,7235,2,2,47,10,1,1,700,1
140265,1084901,1,2,401,5,2.798137509,14.530992640000001,29.341539479999998,7705,1,1,38,8,1,1,750,1
140305,1084920,2,4,511,3,32.793734640000004,39.12871591,42.83086436,805,3,1,9,2,3,5,815,4
140364,1084950,1,5,308,2,4.833608639,7.974761881,10.164679770000001,393655,2,1,36,8,1,1,1630,1
140366,1084950,1,5,308,2,4.833608639,7.974761881,10.164679770000001,393655,3,2,7,2,3,5,715,4
140383,1084975,0,2,107,2,0.633281116,0.5435140474,6.513894581,739870,1,2,41,9,1,1,530,1
140435,1085005,1,1,108,4,0.9710859892,3.702975547,14.22090734,475700,1,1,63,13,1,1,700,1
140480,1085051,1,2,403,7,4.573622249,4.033576309,17.823443599999997,179225,2,1,58,12,1,2,530,1
140488,1085055,3,4,404,5,2.141120882,9.607283709999999,24.98548682,96815,2,1,41,9,1,1,700,1
140536,1085093,2,4,561,5,30.49727694,49.07896976,50.55251224,1545,2,2,31,7,1,1,600,1
140601,1085125,2,6,307,5,6.494563885,9.162913149,13.313642190000001,31235,5,1,6,2,3,5,745,4
140595,1085125,2,6,307,5,6.494563885,9.162913149,13.313642190000001,31235,2,1,42,9,1,1,630,1
140606,1085133,2,2,407,7,7.820135543999999,6.085671842,16.118327530000002,40525,2,1,55,12,1,1,530,1
140619,1085137,4,4,633,7,9.311687352000002,26.081051329999998,39.92705015,1180,3,2,21,5,1,1,630,1
140715,1085188,2,8,103,8,2.960387386,1.4092204979999998,3.30694505,503630,6,2,6,2,3,5,800,4
140723,1085189,2,6,302,6,6.860360112,5.725910597,11.32278778,45490,2,1,51,11,1,1,730,1
140800,1085251,1,3,621,3,17.405857830000002,18.19295121,28.2256069,9755,1,1,61,13,1,1,400,1
140802,1085251,1,3,621,3,17.405857830000002,18.19295121,28.2256069,9755,2,1,18,4,3,2,700,4
140882,1085292,1,2,109,3,3.448385487,0.43001499439999996,7.622339527,711290,1,1,28,6,1,1,900,1
140887,1085292,1,2,109,3,3.448385487,0.43001499439999996,7.622339527,711290,2,2,28,6,3,1,830,4
140901,1085300,2,4,108,4,2.250926361,0.8493599275,9.33607104,725780,4,1,18,4,3,2,1400,4
140897,1085300,2,4,108,4,2.250926361,0.8493599275,9.33607104,725780,3,2,20,5,3,2,720,4
140963,1085343,1,2,132,4,5.226048208,15.21408388,25.85770441,28745,2,1,63,13,1,1,750,1
140991,1085363,2,4,134,2,7.9758597700000005,19.55332317,30.111751469999998,1510,2,1,44,9,1,1,630,1
140993,1085363,2,4,134,2,7.9758597700000005,19.55332317,30.111751469999998,1510,3,1,16,4,3,1,845,4
141057,1085402,1,2,542,8,6.917644422,14.67389825,16.863816139999997,2895,2,2,51,11,1,1,900,1
141071,1085407,5,5,644,4,1.41848056,13.75075843,29.963343469999998,15470,3,1,19,4,3,1,700,4
141101,1085433,1,3,122,4,1.495493413,1.255854101,3.4266103119999998,675695,2,2,48,10,1,1,730,1
141220,1085535,2,3,117,2,8.387972448000001,4.222588321,12.74273772,171740,3,1,5,2,3,5,800,4
141231,1085547,1,2,110,2,6.271128186,1.068215509,6.271128186,623530,2,1,36,8,1,1,600,1
141261,1085578,0,1,129,2,2.871826172,7.817507462,12.83909923,101715,1,1,66,14,1,1,700,1
141291,1085593,3,3,544,2,1.26338697,21.14602595,22.61956843,7280,3,2,19,4,3,1,700,4
141296,1085601,3,4,623,7,23.702467390000002,24.60470836,34.63736404,8450,3,1,21,5,3,1,830,4
141300,1085604,1,2,544,2,1.817118941,21.48972136,22.96326384,7845,1,2,49,10,1,1,530,1
141329,1085607,2,5,308,4,6.026189744,9.528581526,12.00258821,365775,4,1,5,2,3,5,740,4
141380,1085615,2,3,131,5,0.27898724529999996,14.15836236,22.38127197,99045,3,1,16,4,3,2,830,4
141384,1085619,1,3,102,4,2.987856844,0.336935687,2.987856844,777460,2,2,29,6,1,1,715,1
141416,1085643,2,4,643,3,2.819740774,19.02516857,35.23775361,35710,4,1,14,3,3,5,725,4
141436,1085659,1,2,611,2,27.33646546,17.082664079999997,28.668888459999998,7585,1,2,60,13,4,1,1030,4
141558,1085733,2,2,121,6,1.3900599649999998,0.7360797267,5.464289689,752195,1,2,57,12,1,1,815,1
141575,1085742,0,3,107,2,3.2088744289999998,0.702632962,8.03478073,756640,1,2,44,9,1,2,800,1
141683,1085798,2,4,114,6,15.74538075,8.806941974999999,20.39316636,51880,3,1,21,5,3,2,1000,4
141691,1085803,0,3,101,2,1.5516511800000001,0.2693114299,1.5516511800000001,835135,3,1,32,7,2,2,1100,1
141724,1085831,2,3,138,4,1.3547784429999998,21.537587950000002,30.5417651,25265,1,1,50,11,1,1,700,1
141726,1085831,2,3,138,4,1.3547784429999998,21.537587950000002,30.5417651,25265,2,2,11,3,3,5,700,4
141756,1085846,4,3,624,2,22.272627120000003,28.521589929999998,38.55424562,7235,1,2,28,6,3,1,645,4
141805,1085861,2,5,543,4,3.699575108,19.09911346,21.28903134,14555,5,1,9,2,3,5,800,4
141871,1085895,1,2,404,3,2.3567568569999997,9.025784241,25.201122790000003,87955,1,1,35,8,1,1,700,1
141906,1085916,2,4,401,2,5.129082469,13.86321818,28.75620157,6360,2,2,43,9,1,1,715,1
141918,1085921,2,4,408,2,16.266863880000002,15.685428869999999,25.718084559999998,68490,3,1,17,4,3,2,750,4
141989,1085950,2,2,521,7,13.96566161,23.293096560000002,28.52380328,2745,2,1,63,13,1,1,615,1
142032,1085980,3,4,645,5,11.00210752,25.854502810000003,38.38977364,3120,1,2,43,9,1,1,2200,1
142057,1085991,1,5,103,3,4.429381468,0.5418673562999999,7.267572137,525420,3,1,6,2,3,5,640,4
142096,1086014,0,2,104,2,2.632491802,1.155826913,6.347866003,686805,1,2,54,11,1,2,730,1
142113,1086023,2,5,406,4,2.128813016,1.219389358,15.64386217,637430,2,2,44,9,1,1,700,1
142145,1086051,0,2,130,1,2.0752490320000003,11.45612449,16.47771626,31935,1,2,55,12,2,2,850,1
142147,1086051,0,2,130,1,2.0752490320000003,11.45612449,16.47771626,31935,1,2,55,12,2,2,1250,1
142163,1086055,1,6,302,7,4.562479819999999,7.666488128,13.26336532,63575,3,2,14,3,3,5,700,4
142167,1086055,1,6,302,7,4.562479819999999,7.666488128,13.26336532,63575,5,1,11,3,3,5,800,4
142175,1086060,2,5,651,5,8.423816761,25.96517655,42.17776159,1975,2,2,42,9,1,1,700,1
142194,1086062,1,4,108,3,5.077751365,3.412978,13.23008748,366825,2,1,38,8,1,1,630,1
142208,1086070,1,2,105,2,2.935359997,0.42664698370000004,5.445489994,745900,2,2,15,4,3,5,730,4
142225,1086075,2,4,511,5,26.44578931,31.72868677,35.0541454,0,4,2,9,2,3,5,830,4
